"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.054298700E-2,9.610742331E-3,-2.474850416E-2,9.391021729E-2,9.759089987E-2
8.561871600E-2,-2.155005932E-3,-2.656525373E-2,9.423923492E-2,9.793564293E-2
9.067277900E-2,6.397247314E-3,-9.328126907E-5,1.670179367E-1,1.671404339E-1
9.573908100E-2,-1.952078938E-2,4.193475842E-2,1.524324417E-1,1.592960592E-1
1.008083000E-1,-2.506196499E-3,7.467180490E-3,5.671310425E-2,5.725745365E-2
1.058738730E-1,-4.471987486E-3,2.823576331E-2,7.044601440E-2,7.602564007E-2
1.109498620E-1,-1.903831959E-3,2.571684122E-2,6.186676025E-2,6.702593918E-2
1.160059560E-1,-3.240379691E-2,1.713365316E-2,1.138067245E-1,1.195639522E-1
1.210945500E-1,-2.108037472E-2,2.913400531E-2,8.736610413E-2,9.447755614E-2
1.261549660E-1,-1.509389281E-2,1.360488832E-1,1.055927277E-1,1.728784207E-1
1.312042890E-1,-9.581655264E-3,1.628029943E-1,6.886482239E-3,1.632300422E-1
1.362888730E-1,1.351201534E-2,8.989802003E-2,3.790187836E-2,9.849254259E-2
1.413469450E-1,8.296161890E-3,5.319961905E-2,4.920196533E-2,7.293736465E-2
1.464868410E-1,4.628616571E-2,3.682667017E-2,1.932716370E-2,6.222661833E-2
1.514823100E-1,4.171708226E-2,-1.464277506E-3,5.007457733E-2,6.519142855E-2
1.565294980E-1,-5.792319775E-3,-4.699546099E-2,-9.330749512E-3,4.826165360E-2
1.616031950E-1,2.408647537E-2,-8.119943738E-2,7.088661194E-3,8.499268230E-2
1.666638730E-1,3.222322464E-2,-9.341251850E-2,5.249977112E-2,1.118948649E-1
1.717401750E-1,-1.073151827E-3,-7.789376378E-2,3.187847137E-2,8.417141455E-2
1.768097060E-1,-1.012557745E-2,-1.067850590E-1,2.365970612E-2,1.098424227E-1
1.818665810E-1,-1.663422585E-2,-8.866274357E-2,4.341316223E-2,1.001123480E-1
1.869272580E-1,-2.051538229E-2,-2.991890907E-2,3.022480011E-2,4.721822288E-2
1.919918410E-1,-2.659219503E-2,-1.030561328E-2,1.987743378E-2,3.476295263E-2
1.970598100E-1,-4.860767722E-2,-1.927760243E-2,1.222705841E-2,5.370133330E-2
2.021259560E-1,-4.921105504E-2,-2.472430468E-3,2.567863464E-2,5.556287545E-2
2.071947060E-1,-3.137588501E-2,1.623913646E-2,3.640747070E-2,5.073124911E-2
2.122641850E-1,-3.733322024E-2,4.595634341E-2,2.132892609E-2,6.293391710E-2
2.173241330E-1,-8.276045322E-3,4.457995296E-2,2.994537354E-2,5.433774496E-2
2.223959560E-1,-1.030984521E-2,-1.014217734E-2,1.164436340E-3,1.450905171E-2
2.275608520E-1,-2.938270569E-3,6.438553333E-3,1.740169525E-2,1.878582978E-2
2.325331430E-1,1.119548082E-2,-7.217824459E-4,-6.370544434E-3,1.290130215E-2
2.375946020E-1,4.035234451E-3,-5.416336656E-2,-8.523941040E-3,5.497827721E-2
2.426585080E-1,2.960291505E-2,-4.342240095E-2,-1.295852661E-2,5.412726573E-2
2.477240810E-1,1.947680116E-2,-3.989562392E-2,-1.028347015E-2,4.557144226E-2
2.527884040E-1,3.530341387E-2,-3.409767151E-2,4.600429535E-2,6.727092554E-2
2.578578830E-1,3.440830112E-2,-2.856907248E-2,-1.353454590E-2,4.672587100E-2
2.629217370E-1,4.757425189E-2,-1.857432723E-2,2.652359009E-2,5.754837883E-2
2.679890810E-1,3.935539722E-2,-1.764327288E-3,3.291034698E-2,5.133274861E-2
2.730535080E-1,1.736477017E-2,-1.352378726E-2,2.980136871E-2,3.704793708E-2
