"time","ax"
3.325906400E-2,-2.462812662E0
3.579114700E-2,-2.479562521E0
3.832328300E-2,-2.419741869E0
4.085536600E-2,-2.386242390E0
4.338750100E-2,-2.359921217E0
4.591963700E-2,-2.302493572E0
4.845177200E-2,-2.292922258E0
5.098385500E-2,-2.297708035E0
5.351604300E-2,-2.257030010E0
5.601203300E-2,-2.242672920E0
5.854416800E-2,-2.211267233E0
6.107630300E-2,-2.211267233E0
6.360838700E-2,-2.249851465E0
6.614057400E-2,-2.211267233E0
6.867265800E-2,-2.213660002E0
7.120479300E-2,-2.206481695E0
7.373692800E-2,-2.201695919E0
7.626901200E-2,-2.172981977E0
7.880114700E-2,-2.139482498E0
8.133323000E-2,-2.137089729E0
8.386536600E-2,-2.098804474E0
8.640625100E-2,-2.015055656E0
8.893843900E-2,-1.935793519E0
9.147052200E-2,-1.899901152E0
9.400265800E-2,-1.840080619E0
9.653474100E-2,-1.782652855E0
9.906687600E-2,-1.727617979E0
1.015990120E-1,-1.722832322E0
1.041311470E-1,-1.686640859E0
1.066632300E-1,-1.746760488E0
1.091954180E-1,-1.763510346E0
1.117275010E-1,-1.823330879E0
1.142595850E-1,-1.830509305E0
1.167770850E-1,-1.842473388E0
1.193092200E-1,-1.830509305E0
1.218413550E-1,-1.875972986E0
1.243734910E-1,-1.878365755E0
1.269056260E-1,-1.897508383E0
1.294377100E-1,-1.957328916E0
1.319698450E-1,-1.979163408E0
1.345019800E-1,-1.899901152E0
1.370340640E-1,-1.871187329E0
1.395661990E-1,-1.916650891E0
1.420983350E-1,-1.897508383E0
1.446304180E-1,-1.873580098E0
1.475058350E-1,-1.868794441E0
1.500379180E-1,-1.828116536E0
1.525700530E-1,-1.823330879E0
1.551021890E-1,-1.804188251E0
1.576342720E-1,-1.749153376E0
1.601664080E-1,-1.679462433E0
1.626985950E-1,-1.693819284E0
1.652306780E-1,-1.700997829E0
1.677628140E-1,-1.677069545E0
1.702948970E-1,-1.669891119E0
1.728270330E-1,-1.660319805E0
1.753591160E-1,-1.662712693E0
1.775697930E-1,-1.653141379E0
1.801019280E-1,-1.617249012E0
1.826340640E-1,-1.564606905E0
1.851661990E-1,-1.535893083E0
1.876982830E-1,-1.500000715E0
1.902304180E-1,-1.566999674E0
1.927625530E-1,-1.672283888E0
