"t (s)","a (m/s²)"
5.257725500E-2,-4.366740584E-3
5.764678600E-2,1.834462285E-1
6.272084900E-2,1.150021851E-1
6.785053600E-2,8.881956339E-3
7.291423400E-2,-9.031921625E-3
7.798657800E-2,8.090934157E-2
8.303735900E-2,7.944712043E-2
8.811090100E-2,7.241398096E-3
9.317522400E-2,4.155161977E-2
9.823444200E-2,6.692519784E-2
1.033032450E-1,2.671837807E-2
1.083641300E-1,4.070585966E-2
1.134336610E-1,5.146259069E-2
1.185074630E-1,4.394939542E-2
1.235680880E-1,1.679295301E-2
1.286465260E-1,1.361045241E-2
1.337637130E-1,1.967716217E-2
1.387545990E-1,3.244632483E-2
1.438412650E-1,-2.160540223E-2
1.489040260E-1,9.036272764E-3
1.540066300E-1,2.913641930E-2
1.590091820E-1,-1.956850290E-3
1.640675670E-1,-2.028769255E-2
1.691357970E-1,1.733684540E-2
1.742964740E-1,5.134850740E-3
1.792412130E-1,7.189482450E-3
1.843019420E-1,2.549317479E-2
1.893803280E-1,2.000167966E-2
1.944347550E-1,1.934406161E-2
1.995001720E-1,9.382694960E-3
2.045699630E-1,2.075019479E-2
2.096367860E-1,3.424546123E-2
2.147011610E-1,2.875655890E-2
2.197790260E-1,9.354412556E-3
2.248400150E-1,4.406514764E-2
2.299138700E-1,-3.833115101E-3
2.349736090E-1,1.973935962E-2
2.400538170E-1,3.564137220E-2
2.452279320E-1,1.971244812E-3
2.502240780E-1,-1.448559761E-2
2.553173070E-1,6.931602955E-3
2.603592340E-1,3.240755200E-2
2.654240780E-1,3.640824556E-2
2.704884530E-1,1.929444075E-2
2.755672550E-1,9.479820728E-3
2.806178800E-1,1.165410876E-2
2.856830880E-1,-2.700299025E-3
2.907538170E-1,-7.428973913E-3
2.958186610E-1,4.479467869E-3
3.008819420E-1,1.151573658E-2
3.059501200E-1,-5.137056112E-3
3.110234010E-1,9.140908718E-3
3.160826200E-1,2.071106434E-2
3.211469950E-1,8.550077677E-3
3.262315780E-1,-5.652248859E-3
3.313472550E-1,8.695781231E-3
3.363291820E-1,-8.477270603E-4
3.413966300E-1,1.086252928E-2
3.464784010E-1,1.229435205E-3
3.515982450E-1,1.532411575E-2
3.565615260E-1,1.976832747E-2
3.616245470E-1,2.926141024E-3
3.666963700E-1,1.459565759E-2
3.717610050E-1,3.333437443E-2
3.768242860E-1,1.392883062E-2
3.818901720E-1,2.308523655E-2
3.869559530E-1,-3.303527832E-3
3.920234530E-1,1.436114311E-3
3.970994950E-1,-1.037356257E-2
4.021594420E-1,-2.207806706E-2
4.072630880E-1,-7.640033960E-3
4.122976720E-1,1.606443524E-2
4.173746510E-1,1.586765051E-3
4.224290260E-1,-1.733320951E-2
4.275715780E-1,6.555736065E-3
4.326080360E-1,8.810430765E-3
4.376751200E-1,3.990530968E-3
4.427435050E-1,-8.210837841E-4
4.478351720E-1,3.838777542E-3
4.528815260E-1,8.544355631E-3
4.579620990E-1,-3.373622894E-3
4.630079840E-1,3.213989735E-2
4.680815260E-1,2.705234289E-2
4.731445470E-1,3.623458743E-2
4.782178280E-1,1.447781920E-2
4.832742860E-1,-2.587765455E-2
4.883396510E-1,2.904146910E-3
4.934205360E-1,9.946376085E-3
4.984673070E-1,2.870905399E-2
5.035665260E-1,7.091432810E-3
5.086209530E-1,-1.435017586E-2
5.137407970E-1,3.549066186E-2
5.187152240E-1,-3.624558449E-4
5.237815780E-1,-7.449716330E-3
5.288628800E-1,-1.209709048E-2
5.339980360E-1,1.892924309E-2
5.389493380E-1,1.401779056E-2
5.440157450E-1,1.385399699E-2
5.490833490E-1,2.317845821E-2
5.541511090E-1,3.014078736E-2
5.592138700E-1,-8.089870214E-3
5.642787130E-1,-8.046150208E-3
5.693461090E-1,6.285816431E-3
5.744122030E-1,-1.273638010E-2
5.794882450E-1,-3.051608801E-3
5.845487130E-1,-3.059685230E-3
5.896302240E-1,-3.392094374E-2
5.946898590E-1,-7.530003786E-3
5.997813170E-1,1.867398620E-2
6.049352760E-1,-5.215317011E-3
6.099336610E-1,-2.652153373E-2
6.150008490E-1,-2.379351854E-2
6.200652760E-1,-6.893783808E-3
6.251332970E-1,2.574175596E-3
6.301988700E-1,1.206904650E-2
6.352656400E-1,-4.693329334E-3
6.403310570E-1,-2.127271891E-2
6.453993900E-1,1.466321945E-2
6.504679320E-1,-6.765276194E-3
6.555468900E-1,2.186846733E-2
6.606013170E-1,1.452907920E-2
6.656652240E-1,1.918050647E-2
6.707398590E-1,1.186338067E-2
6.757924110E-1,3.074106574E-2
